title,rating,year
Shanghai Dawn - IMDb,,
Marry Me,,2020.0
Bliss,,2020.0
The French Dispatch,,2020.0
Documentary Now!,8.1,2015.0
LEGO The Incredibles,7.1,2018.0
Father Figures,5.5,2017.0
Wonder,8.0,2017.0
Tales from Radiator Springs,6.8,2013.0
Cars 3,6.7,2017.0
Lost in London,6.2,2017.0
Masterminds,5.8,2016.0
Zoolander: Super Model,5.3,2016.0
Saturday Night Live,8.1,1975.0
Zoolander 2,4.7,2016.0
No Escape: Deleted Scenes,7.6,2015.0
No Escape,6.8,2015.0
Zoolander Returns to the Runway,6.6,2015.0
Night at the Museum: Secret of the Tomb,6.2,2014.0
Inherent Vice,6.7,2014.0
The Hero of Color City,3.9,2014.0
She's Funny That Way,6.1,2014.0
The Grand Budapest Hotel,8.1,2014.0
The Killers Ft. Dawes: Christmas in L.A.,6.6,2013.0
Free Birds,5.9,2013.0
Are You Here,5.3,2013.0
Drunk History,7.8,2013.0
The Internship,6.3,2013.0
Kinect Fun Labs: Kinect Rush - A Disney Pixar Adventures: Snapshot,6.2,2012.0
The Big Year,6.2,2011.0
Cars 2,6.1,2011.0
Midnight in Paris,7.7,2011.0
"Little Fockers: Alternate Ending, Treehouse",6.3,2011.0
"Little Fockers: Alternate Opening, Wedding Dream and Morning Wakeup",4.7,2011.0
Little Fockers: Deleted Scenes,5.0,2011.0
Hall Pass,5.8,2011.0
Little Fockers,5.5,2010.0
How Do You Know,5.4,2010.0
Marmaduke,4.2,2010.0
Community,8.5,2009.0
Fantastic Mr. Fox,7.8,2009.0
Night at the Museum: Battle of the Smithsonian,6.0,2009.0
Marley & Me,7.1,2008.0
Drillbit Taylor,5.7,2008.0
The Darjeeling Limited,7.2,2007.0
Night at the Museum,6.4,2006.0
Mater and the Ghostlight,6.6,2006.0
"You, Me and Dupree",5.6,2006.0
Cars,7.1,2006.0
Wedding Crashers,6.9,2005.0
The Wendell Baker Story,5.6,2005.0
Meet the Fockers,6.3,2004.0
The Life Aquatic with Steve Zissou,7.3,2004.0
Around the World in 80 Days,5.9,2004.0
Starsky & Hutch,6.1,2004.0
The Big Bounce,4.9,2004.0
Shanghai Knights,6.2,2003.0
I Spy,5.4,2002.0
Behind Enemy Lines,6.4,2001.0
The Royal Tenenbaums,7.6,2001.0
Zoolander,6.5,2001.0
King of the Hill,7.3,1997.0
Meet the Parents,7.0,2000.0
Shanghai Noon,6.5,2000.0
Heat Vision and Jack,7.9,1999.0
The Haunting,5.0,1999.0
Breakfast of Champions,4.6,1999.0
The Minus Man,6.1,1999.0
Permanent Midnight,6.3,1998.0
Armageddon,6.7,1998.0
Anaconda,4.8,1997.0
The Cable Guy,6.1,1996.0
Bottle Rocket,6.8,1993.0
